type,denom,timestamp,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 10:46:44,146316539.76701200,terra1aawj3d4he47q54duanz2rl2q0fq8rx3z6ra3kf,terra13yxhrk08qvdf5zdc9ss5mwsg5sf7zva9xrgwgc,02EFFB6CF261B2FA54408708467E04C99475A9CA1DD0009C1595549E41C141E4
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 00:25:41,139600857.70790000,terra1amr42cacpt6jjspctxjalehsulx30nmvpp4uhx,terra1fvfvd90gu970rxrz206xrkjsg6nvm2ea0cwqxq,CC33A93E48827D60AE41D83675293E053A5187C14523CB2E5B555041D7687F1A
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 00:49:36,139600857.40790000,terra1fvfvd90gu970rxrz206xrkjsg6nvm2ea0cwqxq,terra1dr7ackrxsqwmac2arx26gre6rj6q3sv29fnn7k,658BFADD7058390A06BB372FE679FAE8856FDF766EB899F4604C9C256F44EDCC
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-08 15:40:44,139215467.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,8FFB503AF8CCB11EFAF7CA7299982D474961F1698B80E24AEB24CA05FDA81248
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-07 22:21:08,138742182.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,4F1A2FF108378C3395F455BF7F8483AEFDABF835C770287345EAF09654F86277
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-07 16:40:37,138061172.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,5AA671ED4719EF8E6BBA0D48807D45BED535518D43A6D4C23F150A97B582C8C0
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-09 16:45:46,136000000.00000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,C0D275585A904D0354A16F89C357334798E75E43442A65EDEC8EA7C4D822C9F8
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-07 23:40:50,134984033.00000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1jrq7xa63a4qgpdgtj70k8yz5p32ps9r7mlj3yr,4995C355B511D7BF9CD2DC248DEE91B2B0BEAC7617CAFCA99D9254C527963F0A
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-07 23:28:56,131018763.04424700,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,5ECB8BE65914D0C2D4AAEFA0B02C4188B9D50B98158FF985CC4DB5448D9EFE3E
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-11 08:20:34,130758861.97077400,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra1p0vl4s4gp46vy6dm352s2fgtw6hccypph7zc3u,54B24EC8B2C9DB38E6DC17C75B242407EE48B3D9FA5612A4F5835F20636B98A9
