type,timestamp,denom,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,2022-05-09 13:00:52,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra1v49w0m38fe87edhqdv30w96wq0pz6u6548q9gj,3EC9AF44463748E03F0DFC746111161FE725171399D760C83E733DE774FEB73E
/cosmos.bank.v1beta1.MsgSend,2022-05-09 12:59:04,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra1t8szgklntcwxyfyflucuq895gpjr8wn6tsqxye,5CC6AF0F16332E2DDFDDE725818EDFCE0F60ED6597690941CD994075FFBE9963
/cosmos.bank.v1beta1.MsgSend,2022-05-09 12:59:52,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra1g5dmf4qpmdrcw77d3ty6djrgujt8r2n3lgyknj,956051111F4BB5C6F2E2530E9B6381D011EB4770D2CB734B4EA54E45117FE9A9
/cosmos.bank.v1beta1.MsgSend,2022-05-09 13:01:11,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra17p4mqd7yl9m0r7cfv0nf9s9zae3d3gm4tmyg2a,6EFB10F5FB71B24889BD27C4C27AB9093B44CDED14D16FF156FFF699BBDED1F1
/cosmos.bank.v1beta1.MsgSend,2022-05-09 12:58:44,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra12qmfcxy8kahwt44tn4aq4t6kdmtyer38xnrh7m,7130CA990E5D282ABA81100C4E00C402112AB4ECE24A4B773BB6A73BD4BD4C7D
/cosmos.bank.v1beta1.MsgSend,2022-05-09 12:58:19,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra14ny376fe7hys2zqxwc87zp2achp9tju5q6jul4,C0DCC0044899201A2C023408AEF5A6FAAB5E4C238EB0C3E922F1EAFD0AD4923F
/cosmos.bank.v1beta1.MsgSend,2022-05-09 12:57:26,usd,10900000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,6913A9E9C85BB6CF1F3A27F72E7AA48B07B38767958557F612EC315FFCFFF1D0
/cosmos.bank.v1beta1.MsgSend,2022-05-09 13:59:00,usd,10859948.864545000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,EABE09EBD874F96CCA521C5A5CF7F44ACFB853A57B52CA21B9D25147F8CA6CB6
/cosmos.bank.v1beta1.MsgSend,2022-05-08 18:28:57,usd,10727857.417946000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,79D36F4B026A66EDEE0E3826937EAA50A0A4DF021F8A88436A541790C230A25B
/cosmos.bank.v1beta1.MsgSend,2022-05-11 14:47:13,usd,10670659.576141000000,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,terra1ny3ndl9awztxn52ktuakw8zrtdkmvu0cc8g32g,6B5E26E12D6316E9622D53F50BBEF8567C554ED9F6CD8BB79864E954F5151102
